No00000#0,"""None"""
No17490#0,"""Ewy Headgeaw"""
No17500#0,"""Ewy Taiws"""
No17510#0,"""Shamiw Bawwette"""
No17520#0,"""Shewwy Headdwess"""
No17530#0,"""Shewwy Wibbon"""
No17540#0,"""Mawaud Hat"""
No17550#0,"""Mawine Hat"""
No17560#0,"""Siwen Haiw Accessowy"""
No17570#0,"""Siwen Sweeves"""
No17580#0,"""Wawge Shouwdew Bawancew"""
No17590#0,"""Wawge Weg Bawancew"""
No17600#0,"""Siwen MK2"""
No17610#0,"""ACS Cwadwe A"""
No17620#0,"""ACS Cwadwe B"""
No17630#0,"""Twin Missiwe Waunchew"""
No17640#0,"""S Stywet 2 Shouwdew"""
No17650#0,"""G Wawge Shouwdew Bawancew"""
No17660#0,"""G Wawge Weg Bawancew"""
No17670#0,"""G Siwen MK2"""
No17690#0,"""Big Guawdew W"""
No17691#0,"""Big Guawdew W"""
No17700#0,"""Feathewed Haiw Extension"""
No17740#0,"""Stywet G Headgeaw"""
No17750#0,"""Head Widing Donpen"""
No17870#0,"""Shouwdew Awm W"""
No17871#0,"""Shouwdew Awm W"""
No17890#0,"""Twavewing Wappy Bawwoon"""
No17900#0,"""Neck Wiwwipa Pouch"""
No17910#0,"""Wappy Head"""
No17911#0,"""Yewwow Wappy Head"""
No17930#0,"""Ciwcwing Phantom Aiwcwaft"""
No17931#0,"""Twaiwing Phantom Aiwcwaft"""
No17940#0,"""Chest of Gowd Coins"""
No17950#0,"""Wed Twopicaw Innew Tube"""
No17951#0,"""Bwue Twopicaw Innew Tube"""
No17960#0,"""Weft Awm Hewwfiwe"""
No17970#0,"""Cathedwaw Neckwace"""
No17990#0,"""Cathedwaw Mini Veiw"""
No18000#0,"""Siwen Feathews"""
No18010#0,"""Siwen Wings"""
No18050#0,"""Shiewd Bwade W"""
No18051#0,"""Shiewd Bwade W"""
No18060#0,"""Metaw Wide Wings"""
No17710#0,"""Hewios Headgeaw"""
No17800#0,"""Kwanos Cwoak"""
No17810#0,"""Hewios Cwoak"""
No18020#0,"""Cuensit Hat"""
No18030#0,"""Cuendina Hat"""
No18070#0,"""Metaw Guawd Hewm"""
No18080#0,"""Fwont Twin Extension"""
No18110#0,"""Fwoat Guawdew"""
No18150#0,"""White Wing Haiwpin"""
No18151#0,"""Peach Wing Haiwpin"""
No18152#0,"""Aqua Wing Haiwpin"""
No18220#0,"""White Awmowed Wings"""
No18221#0,"""Bwack Awmowed Wings"""
No18230#0,"""Handhewd Fiwewowks"""
No18260#0,"""Head Widing Mothew"""
No18270#0,"""Head Widing Awatwon"""
No14253#0,"""Wed Wose Wibbon Cowsage"""
No14553#0,"""White Squawe Wucksack"""
No14731#0,"""White Diwect Necktie"""
No15121#0,"""Siwvew Wing Neckwace"""
No18530#0,"""Empe Wappy Chain"""
No18540#0,"""Fwammegash Neck"""
No03013#0,"""Bwack Aiwy Wibbon"""
No06251#0,"""Twin Head Cowsage B"""
No13531#0,"""Awm Missiwes B"""
No14221#0,"""Wound Buckwew B"""
No14951#0,"""Waist Stabiwizew B"""
No15051#0,"""Feathew Weathew Neckwace B"""
No16461#0,"""Effectow Headgeaw B"""
No16473#0,"""White Effectow Necktie"""
No16481#0,"""Effectow Awm B"""
No17730#0,"""Wuthew's Scawf"""
No17760#0,"""Cuent Decowative Swowd W"""
No17761#0,"""Cuent Decowative Swowd B"""
No17770#0,"""Cuent Decowative Shiewd W"""
No17771#0,"""Cuent Decowative Shiewd B"""
No17780#0,"""Awdina Stowe"""
No17790#0,"""Awdina Weg Pouch"""
No17820#0,"""DeAwma Accessowy"""
No17830#0,"""DeAwma Pendant"""
No17840#0,"""Faiwy Wings"""
No17880#0,"""Awm Cwaw W"""
No17881#0,"""Awm Cwaw W"""
No18040#0,"""Hawwiet's Bawwette"""
No18090#0,"""Owc Shouwdews"""
No18100#0,"""Wing Haiw Ownaments"""
No18120#0,"""Fwoating Bwades"""
No18130#0,"""Awmow Headgeaw"""
No18140#0,"""Pwotective Skiwt"""
No18160#0,"""White Gothic Bawwette"""
No18161#0,"""Bwack Gothic Bawwette"""
No18170#0,"""Wappy Pawasow"""
No18171#0,"""Wiwwipa Pawasow"""
No18180#0,"""Gowd Shiewd Eawwings"""
No18181#0,"""Siwvew Shiewd Eawwings"""
No18190#0,"""Cuent Bwacewet"""
No18191#0,"""Vewun Bwacewet"""
No18200#0,"""Wed Feathew Bwooch"""
No18201#0,"""Bwue Feathew Bwooch"""
No18202#0,"""Yewwow Feathew Bwooch"""
No18210#0,"""Wed Vivid Wings"""
No18211#0,"""Bwue Vivid Wings"""
No18212#0,"""Wainbow Vivid Wings"""
No18240#0,"""Kawakasa-Obake"""
No18250#0,"""Decowative Wapiew"""
No18251#0,"""Decowative Wapiew B"""
No18280#0,"""Awisa's Feathew Ownament"""
No18290#0,"""Awisa's Headband"""
No18370#0,"""Fuwow Cwown"""
No11975#0,"""Wed Giwwish Wibbon"""
No12361#0,"""Wiwd Cwoak B"""
No14641#0,"""Shouwdew Missiwe B"""
No14991#0,"""Bwack Divine Scawf B"""
No14992#0,"""White Divine Scawf B"""
No15071#0,"""Fowge Bawwette B"""
No15081#0,"""Fowge Eawwings B"""
No15091#0,"""Fowge Pendant B"""
No15401#0,"""Natuwe Neckwace B"""
No15412#0,"""Wed Compact Bag"""
No16181#0,"""Sowid Mask B"""
No16191#0,"""Sowid Cuttew B"""
No17720#0,"""Hawwiet Haiw Ownament"""
No17850#0,"""Wutz Cwown"""
No17860#0,"""Wutz Embwem"""
No18350#0,"""Suwvey Cowps Cwoak"""
No18360#0,"""3D Maneuvewing Equipment"""
No18380#0,"""Divine Siwk Cwown"""
No18390#0,"""Divine Siwk Eawwings"""
No18400#0,"""Gettemhawt Demi-gaunt"""
No18410#0,"""Sina Awmwets"""
No18420#0,"""Yamigawasu Mask"""
No18430#0,"""Awmow Visow"""
No18440#0,"""Bweast V Wing"""
No18450#0,"""Shouwdew Vewniew W"""
No18451#0,"""Shouwdew Vewniew W"""
No18460#0,"""Duaw Feathewed Extension"""
No18470#0,"""Meseta Neckwace"""
No18471#0,"""Wed Wawe Dwop Neckwace"""
No18472#0,"""Wainbow Wawe Dwop Neckwace"""
No18473#0,"""Excube Neckwace"""
No18480#0,"""Omega Wowf Taiw"""
No18481#0,"""Wowf Foie Taiw"""
No18490#0,"""Fwontaw Haiw Wings"""
No18491#0,"""Bwown Fwontaw Haiw Wings"""
No18492#0,"""Aqua Fwontaw Haiw Wings"""
No18500#0,"""Faiwy Eawwings"""
No18510#0,"""White Shawp Wings A"""
No18511#0,"""Bwack Shawp Wings A"""
No18512#0,"""Shawp Wings B"""
No18520#0,"""Pewched Panda"""
No02012#0,"""Wed Peacock Cap"""
No02013#0,"""Yewwow Peacock Cap"""
No05392#0,"""Hawwoween Hunting Cap B"""
No12051#0,"""Antique Wings B"""
No15551#0,"""Hawwoween Cowsage B"""
No15681#0,"""Mewwetto Wings B"""
No18560#0,"""Wequiem Headgeaw"""
No18570#0,"""Noctuwnaw Bawwette"""
No18580#0,"""Noctuwnaw Chokew"""
No18590#0,"""Pwowwew Hat"""
No18700#0,"""Wiwwipa Puppets"""
No18720#0,"""Bwown Casuaw Boots"""
No18721#0,"""Bwue Casuaw Boots"""
No18722#0,"""White Casuaw Boots"""
No18730#0,"""Westwaint Mask"""
No18731#0,"""Bwack Westwaint Mask"""
No18740#0,"""Bitten Candy"""
No18750#0,"""Owange Hawwoween Tie"""
No18751#0,"""Puwpwe Hawwoween Tie"""
No18752#0,"""White Hawwoween Tie"""
No18760#0,"""Haunted Pumpkin Head"""
No18761#0,"""Owange Haunted Pumpkin Head"""
No18770#0,"""Shouwdew Jacks"""
No18771#0,"""Owange Shouwdew Jacks"""
No18780#0,"""Bwack Cat Waist Pouch"""
No18790#0,"""Pewched Watan Empe"""
No18810#0,"""Wequiem Mask"""
No19060#0,"""Femaweigh Headgeaw"""
No15611#0,"""Bwight Fuw B"""
No15621#0,"""Shiny Wibbon B"""
No15743#0,"""Wed Wain Eawwings"""
No15821#0,"""Bwight Hat B"""
No16991#0,"""Wabbits Headphones B"""
No17011#0,"""Siwvos Mask B"""
No17231#0,"""Wabbits Gawtew Wing B"""
No18600#0,"""Sophie Haiw Ownament"""
No18610#0,"""Pwachta Haiw Ownament"""
No18620#0,"""Escha Haiw Ownament"""
No18630#0,"""Escha Taiw"""
No18640#0,"""Bwuesy Wequiem Howns"""
No18650#0,"""Bwuesy Wequiem Wing W"""
No18651#0,"""Bwuesy Wequiem Wing W"""
No18652#0,"""Wed Bwuesy W Wing W"""
No18653#0,"""Wed Bwuesy W Wing W"""
No18660#0,"""Shiewd Wings"""
No18670#0,"""Skiwt Boostew"""
No18690#0,"""Fwuffy Side Extension W"""
No18691#0,"""Fwuffy Side Extension W"""
No18710#0,"""Waist Tied Jewsey"""
No18711#0,"""Bwack Waist Tied Jewsey"""
No18820#0,"""Skuww Sowdiew Shiewd"""
No01221#0,"""Mewcenawy Visow"""
No12203#0,"""Gwanvina Headgeaw C"""
No12504#0,"""Jumbo Bewt B"""
No12621#0,"""Amabawanohime Headpiece B"""
No12763#0,"""Fwontiew Wibbon C"""
No13313#0,"""Bwack Simpwe Wibbon"""
No15991#0,"""Yakisaka Otome Wibbon B"""
No16151#0,"""Pwate Eawwing B"""
No18680#0,"""Shouwdew Gatwing W"""
No18681#0,"""Shouwdew Gatwing W"""
No18830#0,"""Cwinging Powytan"""
No18840#0,"""Pewched Powytan"""
No18850#0,"""Aiwe Headgeaw"""
No18860#0,"""Aiwe Wings"""
No18870#0,"""Bwaided Haiwband"""
No18880#0,"""Wabbit Sun Visow"""
No18890#0,"""Kasumi's Daggew"""
No18900#0,"""Wyu Hayabusa's Scawf"""
No18990#0,"""Ewegant Wings"""
No19010#0,"""Bwack Hawf Hewmet"""
No19011#0,"""White Hawf Hewmet"""
No19020#0,"""Bwown Boa Boots"""
No19021#0,"""White Boa Boots"""
No19022#0,"""Bwack Boa Boots"""
No19030#0,"""Gween Pwate Wings"""
No19031#0,"""Bwue Pwate Wings"""
No19040#0,"""Giant Donut"""
No19041#0,"""Giant Chocowate Donut"""
No19042#0,"""Giant Stwawbewwy Donut"""
No19110#0,"""Hind Mech Wegs"""
No19120#0,"""Knight Shouwdews"""
No19140#0,"""Gowon Piwwaws"""
No19141#0,"""Zowon Piwwaws"""
No19150#0,"""Fundawge Piewcings"""
No19160#0,"""Minotauw Shouwdew"""
No19170#0,"""Minotauw Gauntwet"""
No19300#0,"""Bwack Pompom Fuw Cap"""
No19301#0,"""White Pompom Fuw Cap"""
No19302#0,"""Bwown Pompom Fuw Cap"""
No19310#0,"""Two-Tone Scawf A"""
No19311#0,"""Two-Tone Scawf B"""
No19320#0,"""Weg Awmow"""
No19330#0,"""Spike Awm"""
No09581#0,"""Twipwe Eawwings B"""
No03434#0,"""Cowette Cap Sea"""
No07612#0,"""Photon Wings C"""
No07613#0,"""Photon Wings D"""
No12283#0,"""Dwagnew Hat C"""
No12482#0,"""Happiness Hood C"""
No13172#0,"""Wady Cap Shadow"""
No13181#0,"""Stwaight Gwasses B"""
No13422#0,"""Emewawd Hat B"""
No13431#0,"""Phantom Mothew Wibbon"""
No14331#0,"""White Pewched Puppy"""
No14332#0,"""Bwack Pewched Puppy"""
No15651#0,"""Ascendant Fwame Ownament B"""
No15791#0,"""Mewty Hat Shadow"""
No15831#0,"""Battewy Unit B"""
No16022#0,"""Bwack Weindeew Head"""
No16023#0,"""Peach Weindeew Head"""
No16441#0,"""Vawiant Phoenix Scawf B"""
No16451#0,"""Beautifuw Phoenix Obi B"""
No16941#0,"""Muse Haiw Wings B"""
No17561#0,"""Siwen Haiw Accessowy B"""
No17571#0,"""Siwen Sweeves B"""
No18011#0,"""Siwen Wings B"""
No18910#0,"""Mewwy Cawow Bunny"""
No18920#0,"""Mewwy Cawow Bawwette"""
No18930#0,"""Howwy Cawow Bawwette"""
No18940#0,"""Howwy Cawow Wibbon"""
No18950#0,"""Hawmony Eawmuffs"""
No18960#0,"""Pompommed Mittens"""
No18970#0,"""Knee Howstew W"""
No18980#0,"""Dwagon Awm W"""
No18981#0,"""Dwagon Awm W"""
No19000#0,"""Side Twin Extensions"""
No19001#0,"""Bwack Side Twin Extensions"""
No19002#0,"""Bwue Side Twin Extensions"""
No19003#0,"""Peach Side Twin Extensions"""
No19004#0,"""White Side Twin Extensions"""
No19005#0,"""Yewwow Side Twin Extensions"""
No19006#0,"""Wed Side Twin Extensions"""
No19050#0,"""Mw. Weindeew"""
No19051#0,"""White Mw. Weindeew"""
No19052#0,"""Bwack Mw. Weindeew"""
No19053#0,"""Peach Mw. Weindeew"""
No19070#0,"""Womanticist Hachigane"""
No19080#0,"""Komachi Headdwess"""
No19100#0,"""Cwumsy Shiewd"""
No19240#0,"""White Wibbon Scawf"""
No19241#0,"""Bwack Wibbon Scawf"""
No19270#0,"""Bwack Fuwwy Gwuvs"""
No19271#0,"""White Fuwwy Gwuvs"""
No19272#0,"""Bwown Fuwwy Gwuvs"""
No19290#0,"""Pewched Tuwkey"""
No19340#0,"""Spwing Bweeze Haiw Ownament"""
No19350#0,"""Spwing Bweeze Obi"""
No19490#0,"""Womanticist Waw Dwum"""
No19500#0,"""Womanticist Kabuto"""
No19510#0,"""White Pawsome Wucksack"""
No19511#0,"""Bwack Pawsome Wucksack"""
No19512#0,"""Bwown Pawsome Wucksack"""
No19520#0,"""White Tewukuu Haiwpin"""
No19521#0,"""Bwack Tewukuu Haiwpin"""
No19530#0,"""Bitten Kogatana"""
No19600#0,"""Wika Chokew"""
No19840#0,"""Hywian Shiewd"""
No18971#0,"""Knee Howstew W"""
No03941#0,"""Chain Eawwings B"""
No04113#0,"""White Stowe Scawf"""
No11976#0,"""Aqua Giwwish Wibbon"""
No12304#0,"""Cwadew Hat Weaf"""
No12314#0,"""Wosette Cap Cwimson"""
No15323#0,"""Stwapped Owd Book White"""
No16221#0,"""Hatouwe Cap B"""
No16231#0,"""Hatouwe Side Unit B"""
No16241#0,"""Chocowat Wibbon B"""
No16641#0,"""Chocowate Cake Hat B"""
No16921#0,"""Wuck Waise Watch B"""
No17711#0,"""Hewios Headgeaw B"""
No17801#0,"""Kwanos Cwoak B"""
No17811#0,"""Hewios Cwoak B"""
No18021#0,"""Cuensit Hat B"""
No19090#0,"""Fwowew Headdwess"""
No19130#0,"""Fowewock Extension"""
No19180#0,"""Bwue Owc Hewm"""
No19181#0,"""Wed Owc Hewm"""
No19190#0,"""White Feathew Eaw Cuff W"""
No19191#0,"""White Feathew Eaw Cuff W"""
No19192#0,"""Bwack Feathew Eaw Cuff W"""
No19193#0,"""Bwack Feathew Eaw Cuff W"""
No19200#0,"""Handhewd Pistow"""
No19210#0,"""Bwue Spike Piewcings"""
No19211#0,"""Wed Spike Piewcings"""
No19220#0,"""Bwown Weathew Boots"""
No19221#0,"""Bwack Weathew Boots"""
No19230#0,"""Bwown Wabbit Nose"""
No19231#0,"""White Wabbit Nose"""
No19250#0,"""Wiwdcat Taiw"""
No19260#0,"""Fox Eaws B"""
No19280#0,"""Eagwe Taiw"""
No19281#0,"""Hawk Taiw"""
No19360#0,"""Yuzuki Yukawi Haiw Ownament"""
No19370#0,"""Yuzuki Yukawi Intewcom"""
No19380#0,"""Awmeuwe Wibbon"""
No19390#0,"""Awmeuwe Scawf"""
No19400#0,"""Wide-Bwimmed Wibbon Hat"""
No19410#0,"""Sakuwa Neckwace"""
No19420#0,"""Oiwy-tan Headdwess"""
No19430#0,"""Peach Twintaiw Scwunchies"""
No19431#0,"""Bwue Twintaiw Scwunchies"""
No19432#0,"""White Twintaiw Scwunchies"""
No19440#0,"""Cewebwity Sungwasses"""
No19450#0,"""Piwe Bunkew W"""
No19451#0,"""Piwe Bunkew W"""
No19460#0,"""Ankwe Wings"""
No19470#0,"""Mounted Bwade"""
No19471#0,"""Mounted Awm"""
No19480#0,"""Peach Wuvwy Eyepatch"""
No19481#0,"""Bwue Wuvwy Eyepatch"""
No19550#0,"""Wuvwy Heawt"""
No19560#0,"""Yewwow Tigew Gwuvs"""
No19561#0,"""White Tigew Gwuvs"""
No19570#0,"""Pewched Ehoumaki"""
No19580#0,"""Scope Visow"""
No19590#0,"""Wed Jewew Chain"""
No19591#0,"""Bwue Jewew Chain"""
No19610#0,"""Knit Wibbon"""
No19611#0,"""Knit Wibbon Bwack"""
No19620#0,"""Fewice Headband"""
No19630#0,"""Maxweww Pin"""
No19640#0,"""Daisy Haiwpin"""
No19730#0,"""Heavy Gatwing W"""
No19731#0,"""Heavy Gatwing W"""
No19740#0,"""Head Widing Faiwy Xiewa"""
No19750#0,"""Ewythwon Wings"""
No19751#0,"""Atwum Wings"""
No19760#0,"""Bwown Thin Muffwew"""
No19761#0,"""White Thin Muffwew"""
No19762#0,"""Bwack Thin Muffwew"""
No19770#0,"""Sash Bewt Bwack"""
No19771#0,"""Sash Bewt Bwown"""
No19780#0,"""Hopping Mewody"""
No19781#0,"""Hopping Mewody Bwack"""
No19782#0,"""Hopping Mewody White"""
No19783#0,"""Hopping Mewody Peach"""
No19820#0,"""Heawt Awwow Bawette Bwown"""
No19821#0,"""Heawt Awwow Bawette White"""
No19822#0,"""Heawt Awwow Bawette Peach"""
No19830#0,"""Wemote Knuckwe W"""
No19831#0,"""Wemote Swowd"""
No19860#0,"""Bitten Towch Wed"""
No19861#0,"""Bitten Towch Bwue"""
No18031#0,"""Cuendina Hat B"""
No12381#0,"""Snow Eawwings B"""
No15151#0,"""Accew Guawd B"""
No15933#0,"""Bwack Wace Scawf B"""
No16141#0,"""Vivienne Punishew B"""
No16281#0,"""Bweast Skuww B"""
No16381#0,"""Hoop Eawwings B"""
No16531#0,"""Thwee Staw Eawwings B"""
No16562#0,"""Gowd Wong Nose Mask"""
No16572#0,"""White Checkewed Wucksack"""
No16891#0,"""Cosmic Pendant B"""
No19670#0,"""Neige Hat"""
No19680#0,"""Powdew Snow"""
No19690#0,"""Hound Boa Hood"""
No19720#0,"""Pwopewwant Tank"""
No19790#0,"""Wiwwipa Head"""
No19800#0,"""Bwack Fwinge Boots"""
No19801#0,"""Bwown Fwinge Boots"""
No19810#0,"""Bwack Wabbit Gas Mask"""
No19811#0,"""White Wabbit Gas Mask"""
No19850#0,"""Bweast Gatwing"""
No19870#0,"""Dusk Scawf"""
No19880#0,"""Dusk Skiwt"""
No19890#0,"""Awkuma Headband"""
No19900#0,"""Awkuma Scwunchie"""
No19910#0,"""Shouwdew Cannon A"""
No19911#0,"""Shouwdew Cannon B"""
No19920#0,"""Metaw Cwaw W"""
No19921#0,"""Metaw Cwaw W"""
No19930#0,"""Photon Wadiatow"""
No19950#0,"""Ewythwon Howns"""
No19951#0,"""Atwum Howns"""
No19960#0,"""Ewythwon Taiw"""
No19961#0,"""Atwum Taiw"""
No20000#0,"""Bwack Cwutch Bag"""
No20001#0,"""Bwown Cwutch Bag"""
No20002#0,"""White Cwutch Bag"""
No20010#0,"""White Smaww Bewt"""
No20011#0,"""Bwack Smaww Bewt"""
No20012#0,"""Bwown Smaww Bewt"""
No20020#0,"""White Wawge Shiewd"""
No20021#0,"""Bwack Wawge Shiewd"""
No20030#0,"""Bwack Bawwistic Guawd"""
No20031#0,"""Siwvew Bawwistic Guawd"""
No20040#0,"""Boss Scawf"""
No20041#0,"""Bwack Boss Scawf"""
No20042#0,"""White Boss Scawf"""
No20043#0,"""Wed Boss Scawf"""
No20090#0,"""Gowd Geaw Cowsage"""
No20091#0,"""Siwvew Geaw Cowsage"""
No20100#0,"""Yuna Yuki Sakuwa Haiw Wibbon"""
No20110#0,"""Yuna Yuki Sakuwa Haiwpin"""
No20120#0,"""Mimowi Togo Wong Wibbon"""
No20470#0,"""Fiwdia Pawts"""
No20480#0,"""Izuna Haiw Ownament"""
No20490#0,"""Wutina Haiw Ownament"""
No20380#0,"""Chwome Vew"""
No20390#0,"""Chwome Hands"""
No20400#0,"""Chwome Taiw"""
No20410#0,"""Wosew Penna"""
No20420#0,"""Wosew Fewz"""
No20430#0,"""Wosew Dewota"""
No20440#0,"""Bwowiwe a"""
No20450#0,"""Bwimoiew a"""
No20460#0,"""Bwandydos a"""
No20050#0,"""Shouwdew Empwess Wiwwipan"""
No20051#0,"""Shouwdew Empewow Wiwwipan"""
No16601#0,"""Side Shiewds B"""
No16792#0,"""Owange Wibbon Headband"""
No16811#0,"""Gothic Maid Bwim B"""
No16821#0,"""Gothic Maid Wibbon B"""
No16831#0,"""Scawed Gwasses B"""
No16881#0,"""Spiked Weathew Mask B"""
No17882#0,"""Awm Cwaw B W"""
No17883#0,"""Awm Cwaw B W"""
No19980#0,"""Wycowis Cowsage"""
No19981#0,"""Wed Wycowis Cowsage"""
No19982#0,"""White Wycowis Cowsage"""
No19983#0,"""Bwack Wycowis Cowsage"""
No19990#0,"""Mitten Gauntwets"""
No19991#0,"""Bwack Mitten Gauntwets"""
No19992#0,"""Siwvew Mitten Gauntwets"""
No19993#0,"""Gowd Mitten Gauntwets"""
No20060#0,"""Bwown Twekking Boots"""
No20061#0,"""Bwack Twekking Boots"""
No20062#0,"""Gway Twekking Boots"""
No20070#0,"""White Cwuvw Cwown"""
No20071#0,"""Peach Cwuvw Cwown"""
No20080#0,"""Weaw Boostew"""
No20130#0,"""Smith Headband"""
No20140#0,"""Smith Goggwes"""
No20150#0,"""Smithy Mask A"""
No20151#0,"""Smithy Mask B"""
No20160#0,"""Waist Hung Bandana"""
No20310#0,"""Geometwic Wings"""
No20340#0,"""Head Widing Wappy"""
No20341#0,"""Head Widing Kid Wappy"""
No20770#0,"""Stewwa Headgeaw 2"""
No20780#0,"""Stewwa Awm Geaw"""
No20790#0,"""Stewwa Wwist Geaw"""
No20840#0,"""Stawdust"""
Title#0,"""Change Body Paint Dispway Pwiowity"""
Priority1#0,"""Pwiowity 1"""
Priority2#0,"""Pwiowity 2"""
Priority3#0,"""Pwiowity 3"""
MovePriority1#0,"""Set to Pwiowity 1"""
MovePriority2#0,"""Set to Pwiowity 2"""
MovePriority3#0,"""Set to Pwiowity 3"""
Item_InnerWear#0,"""Innewweaw"""
Item_BodyPaint1#0,"""Body Paint 1"""
Item_BodyPaint2#0,"""Body Paint 2"""
